Date,AUD,JPY
1/2/1995,,
1/3/1995,,
1/4/1995,0.7704,100.98
1/5/1995,0.7693,101
1/6/1995,0.7699,100.95
1/9/1995,0.7658,101.05
1/10/1995,0.7643,100.18
1/11/1995,0.767,99.85
1/12/1995,0.7706,100
1/13/1995,0.7613,98.85
1/16/1995,0.7593,
1/17/1995,0.7616,99
1/18/1995,0.7596,98.92
1/19/1995,0.7613,99.45
1/20/1995,0.7674,99.15
1/23/1995,0.7701,99.9
1/24/1995,0.7698,99.75
1/25/1995,0.7711,99.6
1/26/1995,,99.53
1/27/1995,0.7625,99.3
1/30/1995,0.7601,99.15
1/31/1995,0.7583,98.55
2/1/1995,0.7582,99.35
2/2/1995,0.7585,99.33
2/3/1995,0.759,99.55
2/6/1995,0.7528,99.68
2/7/1995,0.7455,99.25
2/8/1995,0.747,99.4
2/9/1995,0.7419,98.8
2/10/1995,0.7437,98.78
2/13/1995,0.747,98.77
2/14/1995,0.7426,98.6
2/15/1995,0.7466,98.55
2/16/1995,0.7459,98.1
2/17/1995,0.7379,97.5
2/20/1995,0.7377,96.95
2/21/1995,0.7418,97.35
2/22/1995,0.7435,97.15
2/23/1995,0.7392,97.1
2/24/1995,0.7376,96.6
2/27/1995,0.7399,97
2/28/1995,0.7395,97.05
3/1/1995,0.7364,96.5
3/2/1995,0.7351,96.55
3/3/1995,0.7373,95.4
3/6/1995,0.7337,93.4
3/7/1995,0.7387,92.85
3/8/1995,0.7386,89.15
3/9/1995,0.741,91.1
3/10/1995,0.7413,91.15
3/13/1995,0.7455,90.2
3/14/1995,0.7459,90.75
3/15/1995,0.7465,90.45
3/16/1995,0.7466,89.75
3/17/1995,0.7418,90
3/20/1995,0.7293,89.45
3/21/1995,0.7255,
3/22/1995,0.7281,89.03
3/23/1995,0.7226,88.7
3/24/1995,0.7265,88.55
3/27/1995,0.7275,88.62
3/28/1995,0.7268,89.65
3/29/1995,0.7271,88.5
3/30/1995,0.7263,88.25
3/31/1995,0.728,89.35
4/3/1995,0.7343,87.2
4/4/1995,0.7324,86
4/5/1995,0.7387,86.4
4/6/1995,0.7393,86.1
4/7/1995,,84.6
4/10/1995,0.7402,83
4/11/1995,0.7391,84.4
4/12/1995,0.7423,83.4
4/13/1995,0.742,83.45
4/14/1995,,83.8
4/17/1995,,82.3
4/18/1995,0.7456,81.8
4/19/1995,0.7407,80.3
4/20/1995,0.7357,81.6
4/21/1995,0.7363,83.3
4/24/1995,,82.35
4/25/1995,,83.3
4/26/1995,,82.6
4/27/1995,0.7271,83.7
4/28/1995,0.7299,83.75
5/1/1995,0.7282,84
5/2/1995,0.7285,83.7
5/3/1995,0.7295,
5/4/1995,0.7348,
5/5/1995,0.7426,
5/8/1995,0.7411,83.1
5/9/1995,0.7382,83.3
5/10/1995,0.7286,83.4
5/11/1995,0.7295,83.95
5/12/1995,0.735,85.85
5/15/1995,0.7368,87.3
5/16/1995,0.7323,86.4
5/17/1995,0.7314,86.3
5/18/1995,0.7303,87.1
5/19/1995,0.7196,86.75
5/22/1995,0.7195,87.02
5/23/1995,0.7187,87.35
5/24/1995,0.7198,87.27
5/25/1995,0.7182,86.35
5/26/1995,0.7229,84.25
5/29/1995,0.7197,82.25
5/30/1995,0.7212,83.1
5/31/1995,0.7138,83.2
6/1/1995,0.7125,84.75
6/2/1995,0.716,84.85
6/5/1995,0.7143,84.2
6/6/1995,0.7193,85
6/7/1995,0.72,84.7
6/8/1995,0.7204,85.1
6/9/1995,0.7206,84.75
6/12/1995,,84.3
6/13/1995,0.7174,83.8
6/14/1995,0.7214,84.6
6/15/1995,0.7213,84.4
6/16/1995,0.7269,84.65
6/19/1995,0.7272,84.35
6/20/1995,0.7243,84.7
6/21/1995,0.7245,84.4
6/22/1995,0.725,84
6/23/1995,0.7198,84.5
6/26/1995,0.7215,84.25
6/27/1995,0.7188,84.25
6/28/1995,0.7153,84.1
6/29/1995,0.7158,85.4
6/30/1995,0.7086,84.6
7/3/1995,0.7109,84.8
7/4/1995,0.7093,84.6
7/5/1995,0.7113,84.85
7/6/1995,0.7115,84.95
7/7/1995,0.7144,85.8
7/10/1995,0.7159,87.45
7/11/1995,0.7173,87.07
7/12/1995,0.7198,87.6
7/13/1995,0.7319,87.5
7/14/1995,0.7302,87.8
7/17/1995,0.7309,88.7
7/18/1995,0.7333,88.75
7/19/1995,0.7319,87.5
7/20/1995,0.7337,87.65
7/21/1995,0.7351,88.7
7/24/1995,0.7359,88.1
7/25/1995,0.739,87.6
7/26/1995,0.7405,87.85
7/27/1995,0.7374,87.8
7/28/1995,0.7346,88.15
7/31/1995,0.7389,88.43
8/1/1995,0.7406,88.05
8/2/1995,0.7393,88.9
8/3/1995,0.7396,90.75
8/4/1995,0.7365,90.8
8/7/1995,0.7412,91.1
8/8/1995,0.7435,91.25
8/9/1995,0.7441,91.6
8/10/1995,0.7408,92.1
8/11/1995,0.7443,93.5
8/14/1995,0.7411,94.2
8/15/1995,0.7414,93.65
8/16/1995,0.733,98.4
8/17/1995,0.7333,98.2
8/18/1995,0.7354,97.5
8/21/1995,0.7368,97
8/22/1995,0.7378,96.75
8/23/1995,0.7395,97.2
8/24/1995,0.7394,96.4
8/25/1995,0.7426,96.65
8/28/1995,0.7426,96.5
8/29/1995,0.7498,96.7
8/30/1995,0.7523,98.3
8/31/1995,0.7524,99.1
9/1/1995,0.7496,97.6
9/4/1995,0.7507,97.2
9/5/1995,0.7508,98
9/6/1995,0.7513,98.7
9/7/1995,0.7507,98.8
9/8/1995,0.7526,99.9
9/11/1995,0.752,99.3
9/12/1995,0.7576,100.4
9/13/1995,0.7651,101.9
9/14/1995,0.7602,103.55
9/15/1995,0.761,
9/18/1995,0.7558,104.2
9/19/1995,0.7577,103.5
9/20/1995,0.7573,104.25
9/21/1995,0.756,102.45
9/22/1995,0.7504,99.9
9/25/1995,,100.75
9/26/1995,0.7521,100
9/27/1995,0.7496,100.65
9/28/1995,0.7536,100.4
9/29/1995,0.755,98.3
10/2/1995,0.7605,100.25
10/3/1995,0.7643,100.4
10/4/1995,0.7675,101.5
10/5/1995,0.7638,100.3
10/6/1995,0.7597,100.1
10/9/1995,0.7642,100.3
10/10/1995,0.7592,
10/11/1995,0.7618,100.7
10/12/1995,0.7642,101.15
10/13/1995,0.7608,100.3
10/16/1995,0.7583,100.6
10/17/1995,0.7571,100.45
10/18/1995,0.7511,100.05
10/19/1995,0.7583,100.7
10/20/1995,0.7518,100.65
10/23/1995,0.7489,99.7
10/24/1995,0.7499,100.15
10/25/1995,0.7491,100.4
10/26/1995,0.7567,101.3
10/27/1995,0.7536,101.25
10/30/1995,0.7593,101.8
10/31/1995,0.7566,101.7
11/1/1995,0.7603,102.2
11/2/1995,0.7578,103.6
11/3/1995,0.7579,
11/6/1995,0.7575,103.85
11/7/1995,0.7543,103
11/8/1995,0.7513,103.1
11/9/1995,0.7427,102.35
11/10/1995,0.7385,100.7
11/13/1995,0.7383,100.75
11/14/1995,0.7384,101.55
11/15/1995,0.7396,101.3
11/16/1995,0.7389,101.65
11/17/1995,0.7405,101.9
11/20/1995,0.7428,102.55
11/21/1995,0.7458,101.4
11/22/1995,0.7416,101.4
11/23/1995,0.7403,
11/24/1995,0.7394,101
11/27/1995,0.7403,101.55
11/28/1995,0.7453,101.65
11/29/1995,0.7507,101.3
11/30/1995,0.7469,101.55
12/1/1995,0.743,101.9
12/4/1995,0.7403,101.25
12/5/1995,0.7378,101.4
12/6/1995,0.742,101.4
12/7/1995,0.7408,101.48
12/8/1995,0.7399,101.3
12/11/1995,0.7376,101.07
12/12/1995,0.7377,101.4
12/13/1995,0.7421,101.62
12/14/1995,0.7449,101.75
12/15/1995,0.7406,101.5
12/18/1995,0.7414,101.85
12/19/1995,0.7417,101.5
12/20/1995,0.7413,102
12/21/1995,0.7428,101.9
12/22/1995,0.7409,102.1
12/26/1995,,102.7
12/27/1995,0.7438,102.5
12/28/1995,0.7463,102.85
12/29/1995,0.745,102.83
1/2/1996,0.744,
1/3/1996,0.7462,102.83
1/4/1996,0.745,105.15
1/5/1996,0.7408,104.9
